Symbol,Name,,,,,,,,
AFL,Aflac Inc,,,,,,,,
AIG,American International Group,,,,,,,,
AIZ,Assurant Inc,,,,,,,,
AJG,Arthur J. Gallagher & Company,,,,,,,,
ALL,Allstate Corp,,,,,,,,
AMP,Ameriprise Financial Services,,,,,,,,
AON,AON Plc,,,,,,,,
AXP,American Express Company,,,,,,,,
BAC,Bank of America Corp,,,,,,,,
BEN,Franklin Resources,,,,,,,,
BK,Bank of New York Mellon Corp,,,,,,,,
BLK,Blackrock Inc,,,,,,,,
BRK.B,Berkshire Hathaway Cl B,,,,,,,,
C,Citigroup Inc,,,,,,,,
CB,Chubb Ltd,,,,,,,,
CBOE,CBOE Global Markets Inc,,,,,,,,
CFG,Citizens Financial Group Inc/Ri,,,,,,,,
CINF,Cincinnati Financial,,,,,,,,
CMA,Comerica Inc,,,,,,,,
CME,CME Group Inc,,,,,,,,
COF,Capital One Financial Corp,,,,,,,,
DFS,Discover Financial Services,,,,,,,,
FITB,Fifth Third Bncp,,,,,,,,
FRC,First Republic Bank,,,,,,,,
GL,Globe Life Inc,,,,,,,,
GS,Goldman Sachs Group,,,,,,,,
HBAN,Huntington Bcshs,,,,,,,,
HIG,Hartford Financial Services Group,,,,,,,,
ICE,Intercontinental Exchange,,,,,,,,
IVZ,Invesco Plc,,,,,,,,
JPM,JP Morgan Chase & Company,,,,,,,,
KEY,Keycorp,,,,,,,,
L,Loews Corp,,,,,,,,
LNC,Lincoln National Corp,,,,,,,,
MCO,Moody's Corp,,,,,,,,
MET,Metlife Inc,,,,,,,,
MKTX,Marketaxess Holdings,,,,,,,,
MMC,Marsh & Mclennan Companies,,,,,,,,
MS,Morgan Stanley,,,,,,,,
MSCI,MSCI Inc,,,,,,,,
MTB,M&T Bank Corp,,,,,,,,
NDAQ,Nasdaq Inc,,,,,,,,
NTRS,Northern Trust Corp,,,,,,,,
PBCT,People's United Finl,,,,,,,,
PFG,Principal Financial Group Inc,,,,,,,,
PGR,Progressive Corp,,,,,,,,
PNC,PNC Bank,,,,,,,,
PRU,Prudential Financial Inc,,,,,,,,
RE,Everest Re Group,,,,,,,,
RF,Regions Financial Corp,,,,,,,,
RJF,Raymond James Financial,,,,,,,,
SCHW,The Charles Schwab Corp,,,,,,,,
SIVB,Svb Financial Group,,,,,,,,
SPGI,S&P Global Inc,,,,,,,,
STT,State Street Corp,,,,,,,,
SYF,Synchrony Financial,,,,,,,,
TFC,Truist Financial Corp,,,,,,,,
TROW,T Rowe Price Group,,,,,,,,
TRV,The Travelers Companies Inc,,,,,,,,
UNM,Unumprovident Corp,,,,,,,,
USB,U.S. Bancorp,,,,,,,,
WFC,Wells Fargo & Company,,,,,,,,
WLTW,Willis Towers WT,,,,,,,,
WRB,W.R. Berkley Corp,,,,,,,,
ZION,Zions Bancorp,,,,,,,,
Downloaded from Barchart.com as of 03-23-2021 04:07pm CDT,,,,,,,,,
